act,link,pic,sco,title
西尔维斯特·史…、理查德·克莱纳,http://dianying.2345.com/detail/54871.html,http//imgwx3.2345.com/dypcimg/img/8/18/s54871.jpg?1498715144,8.9,第一滴血2
王泊文、谭盐盐,http://dianying.2345.com/detail/193616.html,http//imgwx1.2345.com/dypcimg/img/0/64/s193616.jpg,7.9,无罪之城
小林薰、多部未华子,http://dianying.2345.com/detail/194609.html,http//imgwx5.2345.com/dypcimg/img/7/64/s194609.jpg,8.5,深夜食堂2
布蕾克·莱弗利、奥斯卡·贾恩那…,http://dianying.2345.com/detail/169203.html,http//imgwx2.2345.com/dypcimg/img/4/56/s169203.jpg?1479951859,8.2,鲨滩
陆莹、安金,http://dianying.2345.com/detail/192972.html,http//imgwx3.2345.com/dypcimg/img/4/64/s192972.jpg,8.0,美人图
林正英、元彪,http://dianying.2345.com/detail/1512.html,http//imgwx1.2345.com/dypcimg/cae/0/0/1512/35407ca001de0e75a2fba4218d5b3057.jpg,7.3,僵尸先生2僵尸家族
斯嘉丽·约翰逊、伊德瑞斯·艾尔…,http://dianying.2345.com/detail/158165.html,http//imgwx1.2345.com/dypcimg/img/8/52/s158165.jpg?1482719911,9.4,奇幻森林
蒂莫西·奥利芬…、多格雷·斯科特,http://dianying.2345.com/detail/150883.html,http//imgwx1.2345.com/dypcimg/img/0/50/s150883.jpg,9.0,杀手代号47
谭旭、董漫庭,http://dianying.2345.com/detail/193923.html,http//imgwx1.2345.com/dypcimg/img/9/64/s193923.jpg,8.2,明朝刺客
李秀芽、So-yeon Jang,http://dianying.2345.com/detail/88874.html,http//imgwx3.2345.com/dypcimg/img/d/29/s88874.jpg?1426576733,7.3,欲望2002
拉尔夫·费因斯、罗莎里奥·道森,http://dianying.2345.com/detail/190393.html,http//imgwx4.2345.com/dypcimg/img/d/63/s190393.jpg,8.0,乐高蝙蝠侠大电影
孙雪宁、秦立洋,http://dianying.2345.com/detail/193232.html,http//imgwx4.2345.com/dypcimg/img/c/64/s193232.jpg,8.5,旋风辣妹
妮可·基德曼、丹尼尔·克雷格,http://dianying.2345.com/detail/22107.html,http//imgwx5.2345.com/dypcimg/img/5/7/s22107.jpg,9.0,黄金罗盘
布兰登·费舍、乔什·哈切森,http://dianying.2345.com/detail/28871.html,http//imgwx1.2345.com/dypcimg/img/b/9/s28871.jpg?1493026703,7.7,地心历险记
关智斌、利哥,http://dianying.2345.com/detail/194601.html,http//imgwx3.2345.com/dypcimg/img/1/64/s194601.jpg,8.7,血战铜锣湾3
道恩·强森、卡拉·古奇诺,http://dianying.2345.com/detail/138515.html,http//imgwx3.2345.com/dypcimg/img/0/46/s138515.jpg?1430711503,7.2,末日崩塌
萨姆·沃辛顿、连姆·尼森,http://dianying.2345.com/detail/46886.html,http//imgwx3.2345.com/dypcimg/img/f/15/s46886.jpg?1488355025,5.9,诸神之怒
刘冠麟,http://dianying.2345.com/detail/192963.html,http//imgwx1.2345.com/dypcimg/img/8/64/s192963.jpg,7.8,走火枪
莫北北、张玉轩,http://dianying.2345.com/detail/194101.html,http//imgwx3.2345.com/dypcimg/img/c/64/s194101.jpg,8.9,秘密囚禁
闫志鹏、杨能,http://dianying.2345.com/detail/193234.html,http//imgwx2.2345.com/dypcimg/img/8/64/s193234.jpg,8.9,还星爷一部电影
詹姆斯·弗兰科、芙蕾达·平托,http://dianying.2345.com/detail/26415.html,http//imgwx3.2345.com/dypcimg/img/3/8/s26415.jpg?1483951051,8.9,猩球崛起
